2026/03/13 09:49:25.998574 [09:49:25.998] SYNC  LLANOS: 255/840 (30%) | sid=3d2c3674
2026/03/13 09:49:27.119209 [09:49:27.119] SYNC  LLANOS: 260/840 (30%) | sid=3d2c3674
2026/03/13 09:49:28.259192 [09:49:28.259] SYNC  LLANOS: 265/840 (31%) | sid=3d2c3674
2026/03/13 09:49:29.458830 [09:49:29.458] SYNC  LLANOS: 270/840 (32%) | sid=3d2c3674
2026/03/13 09:49:30.639183 [09:49:30.639] SYNC  LLANOS: 275/840 (32%) | sid=3d2c3674
2026/03/13 09:49:31.727885 [09:49:31.727] SYNC  LLANOS: 280/840 (33%) | sid=3d2c3674
2026/03/13 09:49:32.899787 [09:49:32.899] SYNC  LLANOS: 285/840 (33%) | sid=3d2c3674
2026/03/13 09:49:34.118644 [09:49:34.118] SYNC  LLANOS: 290/840 (34%) | sid=3d2c3674
2026/03/13 09:49:35.198272 [09:49:35.198] SYNC  LLANOS: 295/840 (35%) | sid=3d2c3674
2026/03/13 09:49:36.260815 [09:49:36.260] SYNC  LLANOS: 300/840 (35%) | sid=3d2c3674
2026/03/13 09:49:37.363260 [09:49:37.363] SYNC  LLANOS: 305/840 (36%) | sid=3d2c3674
2026/03/13 09:49:38.287594 [09:49:38.287] SYNC  LLANOS: 310/840 (36%) | sid=3d2c3674
2026/03/13 09:49:39.457854 [09:49:39.457] SYNC  LLANOS: 315/840 (37%) | sid=3d2c3674
2026/03/13 09:49:40.650755 [09:49:40.650] SYNC  LLANOS: 320/840 (38%) | sid=3d2c3674
2026/03/13 09:49:41.838283 [09:49:41.838] SYNC  LLANOS: 325/840 (38%) | sid=3d2c3674
2026/03/13 09:49:43.059167 [09:49:43.059] SYNC  LLANOS: 330/840 (39%) | sid=3d2c3674
2026/03/13 09:49:44.179511 [09:49:44.179] SYNC  LLANOS: 335/840 (39%) | sid=3d2c3674
2026/03/13 09:49:45.138084 [09:49:45.138] SYNC  LLANOS: 340/840 (40%) | sid=3d2c3674
2026/03/13 09:49:46.317745 [09:49:46.317] SYNC  LLANOS: 345/840 (41%) | sid=3d2c3674
2026/03/13 09:49:47.518512 [09:49:47.518] SYNC  LLANOS: 350/840 (41%) | sid=3d2c3674
2026/03/13 09:49:48.739555 [09:49:48.739] SYNC  LLANOS: 355/840 (42%) | sid=3d2c3674
2026/03/13 09:49:49.937276 [09:49:49.937] SYNC  LLANOS: 360/840 (42%) | sid=3d2c3674
2026/03/13 09:49:50.878523 [09:49:50.878] SYNC  LLANOS: 365/840 (43%) | sid=3d2c3674
2026/03/13 09:49:52.118203 [09:49:52.118] SYNC  LLANOS: 370/840 (44%) | sid=3d2c3674
2026/03/13 09:49:53.298259 [09:49:53.298] SYNC  LLANOS: 375/840 (44%) | sid=3d2c3674
2026/03/13 09:49:54.497822 [09:49:54.497] SYNC  LLANOS: 380/840 (45%) | sid=3d2c3674
2026/03/13 09:49:55.698117 [09:49:55.698] SYNC  LLANOS: 385/840 (45%) | sid=3d2c3674
2026/03/13 09:49:56.778422 [09:49:56.778] SYNC  LLANOS: 390/840 (46%) | sid=3d2c3674
2026/03/13 09:49:57.714453 [09:49:57.714] SYNC  LLANOS: 395/840 (47%) | sid=3d2c3674
2026/03/13 09:49:58.900136 [09:49:58.900] SYNC  LLANOS: 400/840 (47%) | sid=3d2c3674
2026/03/13 09:50:00.088305 [09:50:00.088] SYNC  LLANOS: 405/840 (48%) | sid=3d2c3674
2026/03/13 09:50:01.279765 [09:50:01.279] SYNC  LLANOS: 410/840 (48%) | sid=3d2c3674
2026/03/13 09:50:02.477205 [09:50:02.477] SYNC  LLANOS: 415/840 (49%) | sid=3d2c3674
2026/03/13 09:50:03.458277 [09:50:03.458] SYNC  LLANOS: 420/840 (50%) | sid=3d2c3674
2026/03/13 09:50:04.406265 [09:50:04.406] SYNC  LLANOS: 425/840 (50%) | sid=3d2c3674
2026/03/13 09:50:05.598145 [09:50:05.598] SYNC  LLANOS: 430/840 (51%) | sid=3d2c3674
2026/03/13 09:50:06.816962 [09:50:06.816] SYNC  LLANOS: 435/840 (51%) | sid=3d2c3674
2026/03/13 09:50:07.916906 [09:50:07.916] SYNC  LLANOS: 440/840 (52%) | sid=3d2c3674
2026/03/13 09:50:09.993163 [09:50:09.993] SYNC  LLANOS: 445/840 (52%) | sid=3d2c3674
2026/03/13 09:50:10.976588 [09:50:10.976] SYNC  LLANOS: 450/840 (53%) | sid=3d2c3674
2026/03/13 09:50:12.105229 [09:50:12.105] SYNC  LLANOS: 455/840 (54%) | sid=3d2c3674
2026/03/13 09:50:13.277183 [09:50:13.277] SYNC  LLANOS: 460/840 (54%) | sid=3d2c3674
2026/03/13 09:50:14.476509 [09:50:14.476] SYNC  LLANOS: 465/840 (55%) | sid=3d2c3674
2026/03/13 09:50:15.705021 [09:50:15.705] SYNC  LLANOS: 470/840 (55%) | sid=3d2c3674
2026/03/13 09:50:16.756852 [09:50:16.756] SYNC  LLANOS: 475/840 (56%) | sid=3d2c3674
2026/03/13 09:50:17.857066 [09:50:17.857] SYNC  LLANOS: 480/840 (57%) | sid=3d2c3674
2026/03/13 09:50:18.977454 [09:50:18.977] SYNC  LLANOS: 485/840 (57%) | sid=3d2c3674
2026/03/13 09:50:20.099228 [09:50:20.098] SYNC  LLANOS: 490/840 (58%) | sid=3d2c3674
2026/03/13 09:50:21.296413 [09:50:21.296] SYNC  LLANOS: 495/840 (58%) | sid=3d2c3674
2026/03/13 09:50:22.364311 [09:50:22.364] SYNC  LLANOS: 500/840 (59%) | sid=3d2c3674
2026/03/13 09:50:23.436886 [09:50:23.436] SYNC  LLANOS: 505/840 (60%) | sid=3d2c3674
2026/03/13 09:50:24.576674 [09:50:24.576] SYNC  LLANOS: 510/840 (60%) | sid=3d2c3674
2026/03/13 09:50:25.686596 [09:50:25.686] SYNC  LLANOS: 515/840 (61%) | sid=3d2c3674
2026/03/13 09:50:26.876253 [09:50:26.876] SYNC  LLANOS: 520/840 (61%) | sid=3d2c3674
2026/03/13 09:50:28.256184 [09:50:28.256] SYNC  LLANOS: 525/840 (62%) | sid=3d2c3674
2026/03/13 09:50:29.224658 [09:50:29.224] SYNC  LLANOS: 530/840 (63%) | sid=3d2c3674
2026/03/13 09:50:30.115774 [09:50:30.115] SYNC  LLANOS: 535/840 (63%) | sid=3d2c3674
2026/03/13 09:50:31.015603 [09:50:31.015] SYNC  LLANOS: 540/840 (64%) | sid=3d2c3674
2026/03/13 09:50:32.236496 [09:50:32.236] SYNC  LLANOS: 545/840 (64%) | sid=3d2c3674
2026/03/13 09:50:33.436300 [09:50:33.436] SYNC  LLANOS: 550/840 (65%) | sid=3d2c3674
2026/03/13 09:50:34.637192 [09:50:34.637] SYNC  LLANOS: 555/840 (66%) | sid=3d2c3674
2026/03/13 09:50:35.595248 [09:50:35.595] SYNC  LLANOS: 560/840 (66%) | sid=3d2c3674
2026/03/13 09:50:36.735683 [09:50:36.735] SYNC  LLANOS: 565/840 (67%) | sid=3d2c3674
2026/03/13 09:50:37.915418 [09:50:37.915] SYNC  LLANOS: 570/840 (67%) | sid=3d2c3674
2026/03/13 09:50:39.059694 [09:50:39.059] SYNC  LLANOS: 575/840 (68%) | sid=3d2c3674
2026/03/13 09:50:40.263015 [09:50:40.263] SYNC  LLANOS: 580/840 (69%) | sid=3d2c3674
2026/03/13 09:50:41.420240 [09:50:41.420] SYNC  LLANOS: 585/840 (69%) | sid=3d2c3674
2026/03/13 09:50:42.423868 [09:50:42.423] SYNC  LLANOS: 590/840 (70%) | sid=3d2c3674
2026/03/13 09:50:43.514761 [09:50:43.514] SYNC  LLANOS: 595/840 (70%) | sid=3d2c3674
2026/03/13 09:50:44.714860 [09:50:44.714] SYNC  LLANOS: 600/840 (71%) | sid=3d2c3674
2026/03/13 09:50:45.915041 [09:50:45.915] SYNC  LLANOS: 605/840 (72%) | sid=3d2c3674
2026/03/13 09:50:47.114826 [09:50:47.114] SYNC  LLANOS: 610/840 (72%) | sid=3d2c3674
2026/03/13 09:50:48.117455 [09:50:48.117] SYNC  LLANOS: 615/840 (73%) | sid=3d2c3674
2026/03/13 09:50:48.994510 [09:50:48.994] SYNC  LLANOS: 620/840 (73%) | sid=3d2c3674
2026/03/13 09:50:50.174968 [09:50:50.174] SYNC  LLANOS: 625/840 (74%) | sid=3d2c3674
2026/03/13 09:50:51.353999 [09:50:51.353] SYNC  LLANOS: 630/840 (75%) | sid=3d2c3674
2026/03/13 09:50:52.554710 [09:50:52.554] SYNC  LLANOS: 635/840 (75%) | sid=3d2c3674
2026/03/13 09:50:53.593796 [09:50:53.593] SYNC  LLANOS: 640/840 (76%) | sid=3d2c3674
2026/03/13 09:50:54.562375 [09:50:54.562] SYNC  LLANOS: 645/840 (76%) | sid=3d2c3674
2026/03/13 09:50:55.517281 [09:50:55.517] SYNC  LLANOS: 650/840 (77%) | sid=3d2c3674
2026/03/13 09:50:56.734099 [09:50:56.734] SYNC  LLANOS: 655/840 (77%) | sid=3d2c3674
